2000 2000 20 0
599 1903 178 178 0
1989 443 117 117 0
1887 1045 170 170 0
582 1390 172 172 0
1847 833 187 187 0
346 770 90 90 0
930 928 108 108 0
516 329 168 168 0
71 1853 101 101 0
197 442 138 138 0
137 663 128 128 0
751 990 149 149 0
1853 1674 112 112 0
755 68 133 133 0
619 1307 193 193 0
18 1219 188 188 0
1211 7 150 150 0
1662 1098 161 161 0
1052 245 82 82 0
488 900 146 146 0
1079 834 65 65 0
1670 9 96 96 0
1763 187 81 81 0
339 1834 173 173 0
40 537 84 84 0
277 178 117 117 0
1200 1028 80 80 0
1169 1054 77 77 0
703 1924 199 199 0
1123 1323 92 92 0
1231 1142 133 133 0
542 443 177 177 0
1149 205 146 146 0
1541 202 103 103 0
450 30 150 150 0
1103 1529 134 134 0
864 774 130 130 0
1539 627 196 196 0
961 1878 103 103 0
462 1002 168 168 0
416 739 135 135 0
1180 1616 168 168 0
1767 349 117 117 0
671 470 185 185 0
273 1794 101 101 0
1793 1505 111 111 0
936 336 173 173 0
1948 86 188 188 0
541 1490 72 72 0
289 992 193 193 0
1520 1393 135 135 0
522 385 74 74 0
167 61 89 89 0
1012 1128 153 153 0
1940 1475 184 184 0
131 356 110 110 0
215 1311 71 71 0
1973 1982 65 65 0
1661 645 125 125 0
453 1935 71 71 0
440 247 95 95 0
1441 1377 195 195 0
584 1389 186 186 0
1463 1125 179 179 0
880 1753 99 99 0
118 400 136 136 0
1146 640 114 114 0
785 1313 167 167 0
702 1798 133 133 0
442 643 154 154 0
1274 573 135 135 0
999 1489 68 68 0
1885 973 122 122 0
1472 1547 190 190 0
1619 1925 190 190 0
1482 59 161 161 0
173 923 101 101 0
1436 757 164 164 0
313 900 150 150 0
1883 1193 111 111 0
653 1 157 157 0
1594 1800 85 85 0
641 380 123 123 0
1113 1344 37 20 1
179 1556 36 20 1
1987 1453 26 20 1
129 987 24 20 1
943 15 37 20 1
1960 415 27 20 1
1562 1579 33 20 1
341 1044 39 20 1
1638 514 31 20 1
1968 1075 33 20 1
1272 282 37 20 1
1975 1156 28 20 1
1476 628 38 20 1
1157 1070 27 20 1
428 1799 36 20 1
1451 1542 33 20 1
1143 1630 38 20 1
1099 1130 29 20 1
1084 1228 24 20 1
117 27 39 20 1
1244 78 38 20 1
443 806 22 20 1
1658 784 37 20 1
1851 1296 32 20 1
1299 1820 28 20 1
371 571 32 20 1
102 347 25 20 1
1727 1578 35 20 1
975 885 26 20 1
649 1404 28 20 1
684 100 24 20 1
947 1828 23 20 1
1731 46 25 20 1
958 815 31 20 1
1275 1076 28 20 1
843 520 23 20 1
1154 1286 38 20 1
1326 812 22 20 1
71 1178 22 20 1
109 1370 29 20 1
998 481 35 20 1
1942 1101 39 20 1
828 1669 38 20 1
679 1804 33 20 1
555 1329 27 20 1
1209 1239 34 20 1
1429 156 27 20 1
1068 1160 25 20 1
203 26 24 20 1
1976 1479 31 20 1
1102 820 24 20 1
1999 257 23 20 1
107 1326 34 20 1
1069 178 22 20 1
504 1179 35 20 1
1548 1503 23 20 1
1660 1490 34 20 1
605 488 21 20 1
1160 1285 39 20 1
293 1715 21 20 1
614 1502 30 20 1
955 43 23 20 1
1659 23 24 20 1
1204 1863 35 20 1
50 1181 34 20 1
1342 1153 33 20 1
1 1341 39 20 1
1410 108 32 20 1
667 480 35 20 1
287 1172 21 20 1
1659 1835 22 20 1
676 1319 30 20 1
1326 1281 21 20 1
1808 487 21 20 1
566 101 24 20 1
203 1180 29 20 1
1604 1159 36 20 1
1224 1264 31 20 1
1183 428 35 20 1
1127 1233 21 20 1
1609 469 23 20 1
387 1611 39 20 1
1810 1798 24 20 1
1720 478 37 20 1
278 7 22 20 1
1651 1937 39 20 1
1843 327 21 20 1
1257 1170 37 20 1
1609 1066 21 20 1
1657 175 20 20 1
1168 1861 38 20 1
1356 772 31 20 1
1020 580 23 20 1
36 204 23 20 1
1009 1163 27 20 1
1438 619 38 20 1
1633 1825 36 20 1
231 1444 27 20 1
1623 1951 31 20 1
1922 1901 31 20 1
1959 1574 29 20 1
1839 1803 33 20 1
1901 1097 21 20 1
973 1510 30 20 1
163 631 35 20 1
1686 1332 26 20 1
492 1043 39 20 1
104 1513 31 20 1
1624 141 37 20 1
1717 633 34 20 1
1305 1155 32 20 1
1253 938 20 20 1
981 1484 34 20 1
383 604 36 20 1
1435 305 38 20 1
506 1395 37 20 1
1879 346 36 20 1
1198 1781 39 20 1
1443 171 34 20 1
1292 1607 38 20 1
803 978 39 20 1
939 1296 33 20 1
22 1044 29 20 1
809 1646 23 20 1
1185 527 36 20 1
279 491 37 20 1
1683 1532 21 20 1
1430 664 32 20 1
1017 1813 24 20 1
1269 452 32 20 1
118 1775 24 20 1
1848 1998 34 20 1
121 1046 26 20 1
1780 1565 26 20 1
1218 1072 24 20 1
1172 21 21 20 1
51 111 32 20 1
1317 73 24 20 1
1156 127 33 20 1
1719 341 30 20 1
654 1999 39 20 1
833 337 25 20 1
1531 263 30 20 1
1002 548 34 20 1
76 271 22 20 1
1001 195 29 20 1
46 849 31 20 1
194 168 38 20 1
1896 1974 29 20 1
1733 1114 26 20 1
1047 906 36 20 1
1135 1098 28 20 1
1018 453 20 20 1
1171 174 26 20 1
580 891 31 20 1
516 1234 36 20 1
890 1349 24 20 1
1572 421 33 20 1
1612 575 29 20 1
970 1689 29 20 1
846 1972 26 20 1
1884 893 34 20 1
822 79 23 20 1
1061 718 32 20 1
53 795 20 20 1
1833 1100 28 20 1
1702 969 33 20 1
198 720 33 20 1
1422 1370 32 20 1
895 2 26 20 1
261 1411 23 20 1
1237 1151 32 20 1
761 810 32 20 1
1573 373 34 20 1
1385 544 26 20 1
63 231 34 20 1
516 1948 24 20 1
1124 1339 38 20 1
27 186 33 20 1
58 80 33 20 1
982 1891 25 20 1
1181 684 30 20 1
860 1380 21 20 1
1405 283 25 20 1
750 300 37 20 1
285 1012 33 20 1
1711 1523 21 20 1
164 473 22 20 1
333 1737 27 20 1
846 1718 31 20 1
282 910 31 20 1
1949 798 33 20 1
858 1074 25 20 1
138 885 35 20 1
1261 196 25 20 1
966 244 26 20 1
87 147 23 20 1
928 948 39 20 1
1527 333 20 20 1
1231 278 36 20 1
634 1517 26 20 1
1290 346 23 20 1
1040 1455 28 20 1
819 1374 39 20 1
1193 1666 38 20 1
1092 1475 35 20 1
576 1042 33 20 1
273 1435 22 20 1
117 411 33 20 1
320 1379 27 20 1
608 1286 35 20 1
1623 695 38 20 1
1434 551 38 20 1
1644 961 37 20 1
885 875 24 20 1
1240 1520 35 20 1
393 531 30 20 1
1866 1434 25 20 1
1986 685 38 20 1
808 1179 38 20 1
352 1901 37 20 1
654 929 29 20 1
944 928 31 20 1
364 1061 23 20 1
1340 684 25 20 1
440 1948 37 20 1
1971 64 29 20 1
644 1405 29 20 1
615 288 36 20 1
366 1501 29 20 1
1164 1607 25 20 1
1022 1557 23 20 1
138 888 33 20 1
991 124 34 20 1
1574 1800 22 20 1
1303 1927 32 20 1
